,Unnamed: 0,Date,Open,High,Low,Close,Volume,ExDividend,SplitRatio,AdjOpen,AdjHigh,AdjLow,AdjClose,AdjVolume,Stock
3076,196,2017-03-21,870.06,873.47,847.687,850.14,2537978.0,0.0,1.0,870.06,873.47,847.687,850.14,2537978.0,GOOGL
3075,195,2017-03-22,849.48,855.35,847.0,849.8,1366749.0,0.0,1.0,849.48,855.35,847.0,849.8,1366749.0,GOOGL
948,195,2017-03-22,251.56,255.07,250.51,255.01,4059297.0,0.0,1.0,251.56,255.07,250.51,255.01,4059297.0,TSLA
194,194,2017-03-22,139.845,141.6,139.76,141.42,25860165.0,0.0,1.0,138.71223564353,140.45301989433,138.62792415559,140.27447791989,25860165.0,AAPL
2321,60,2017-03-22,45.61,46.14,45.6,46.06,6773395.0,0.0,1.0,45.61,46.14,45.6,46.06,6773395.0,YHOO
1702,195,2017-03-22,193.69,196.7,193.69,195.83,64472.0,0.0,1.0,193.0425310152,196.0424691553,193.0425310152,195.17537740052,64472.0,COKE
947,194,2017-03-23,255.39,257.672,253.3,254.78,3320245.0,0.0,1.0,255.39,257.672,253.3,254.78,3320245.0,TSLA
193,193,2017-03-23,141.26,141.5844,140.61,140.92,20346301.0,0.0,1.0,140.11577394261002,140.43754625655,139.4710390349,139.77852799088998,20346301.0,AAPL
2320,59,2017-03-23,46.13,46.78,46.09,46.6,8297815.0,0.0,1.0,46.13,46.78,46.09,46.6,8297815.0,YHOO
3074,194,2017-03-23,841.39,841.69,833.0,839.65,3287669.0,0.0,1.0,841.39,841.69,833.0,839.65,3287669.0,GOOGL
1701,194,2017-03-23,195.05,200.58,195.05,198.52,71826.0,0.0,1.0,194.39798479278,199.90949905018,194.39798479278,197.85638524001,71826.0,COKE
1700,193,2017-03-24,198.79,198.9,197.14,197.28,32857.0,0.0,1.0,198.12548268115,198.23511497198,196.48099831863,196.62053032515,32857.0,COKE
2319,58,2017-03-24,46.65,46.865,46.14,46.4,5607667.0,0.0,1.0,46.65,46.865,46.14,46.4,5607667.0,YHOO
3073,193,2017-03-24,842.0,844.0,829.1,835.14,2105682.0,0.0,1.0,842.0,844.0,829.1,835.14,2105682.0,GOOGL
192,192,2017-03-24,141.5,141.74,140.35,140.64,22395563.0,0.0,1.0,140.35382990853,140.59188587446002,139.21314507181998,139.50079603064,22395563.0,AAPL
946,193,2017-03-24,255.7,263.89,255.01,263.16,5647253.0,0.0,1.0,255.7,263.89,255.01,263.16,5647253.0,TSLA
1699,192,2017-03-27,196.2,200.7532,196.0,199.38,45037.0,0.0,1.0,195.54414056060003,200.08212007538003,195.34480912272,198.71351042289,45037.0,COKE
945,192,2017-03-27,260.6,270.57,259.75,270.22,6230795.0,0.0,1.0,260.6,270.57,259.75,270.22,6230795.0,TSLA
191,191,2017-03-27,139.39,141.22,138.62,140.88,23575094.0,0.0,1.0,138.26092120813,140.07609794829,137.49715831746,139.73885199657,23575094.0,AAPL
2318,57,2017-03-27,45.92,46.48,45.74,46.4,6016624.0,0.0,1.0,45.92,46.48,45.74,46.4,6016624.0,YHOO
3072,192,2017-03-27,828.09,841.38,824.3,838.51,1935211.0,0.0,1.0,828.09,841.38,824.3,838.51,1935211.0,GOOGL
1698,191,2017-03-28,199.21,202.43,198.05,202.0,48828.0,0.0,1.0,198.5440787007,201.75331485057,197.38795636099,201.32475225913,48828.0,COKE
944,191,2017-03-28,277.02,280.68,275.0,277.45,7987604.0,0.0,1.0,277.02,280.68,275.0,277.45,7987604.0,TSLA
2317,56,2017-03-28,46.33,46.76,46.24,46.57,4630801.0,0.0,1.0,46.33,46.76,46.24,46.57,4630801.0,YHOO
3071,191,2017-03-28,839.69,845.4,832.265,840.63,1519202.0,0.0,1.0,839.69,845.4,832.265,840.63,1519202.0,GOOGL
190,190,2017-03-28,140.91,144.04,140.62,143.8,33374805.0,0.0,1.0,139.76860899231002,142.87325554788,139.48095803348,142.63519958196002,33374805.0,AAPL
189,189,2017-03-29,143.68,144.49,143.19,144.12,29189955.0,0.0,1.0,142.516171599,143.31961048398998,142.03014066857,142.95260753652,29189955.0,AAPL
943,190,2017-03-29,278.34,279.6,275.54,277.38,3676157.0,0.0,1.0,278.34,279.6,275.54,277.38,3676157.0,TSLA
3070,190,2017-03-29,842.75,851.585,841.38,849.87,1457347.0,0.0,1.0,842.75,851.585,841.38,849.87,1457347.0,GOOGL
2316,55,2017-03-29,46.52,46.84,46.3,46.78,4403402.0,0.0,1.0,46.52,46.84,46.3,46.78,4403402.0,YHOO
1697,190,2017-03-29,201.6,202.9,200.315,202.26,39781.0,0.0,1.0,200.92608938337,202.22174372959,199.64538489498,201.58388312837,39781.0,COKE
2315,54,2017-03-30,46.8,47.045,46.6,46.62,3449091.0,0.0,1.0,46.8,47.045,46.6,46.62,3449091.0,YHOO
1696,189,2017-03-30,202.94,204.245,201.0,203.75,38339.0,0.0,1.0,202.26161001716,203.56224764933,200.32809506972,203.06890234058,38339.0,COKE
942,189,2017-03-30,278.04,282.0,277.21,277.92,4148426.0,0.0,1.0,278.04,282.0,277.21,277.92,4148426.0,TSLA
188,188,2017-03-30,144.19,144.5,143.5,143.93,21207252.0,0.0,1.0,143.02204052658,143.32952948257,142.33762962455,142.7641465635,21207252.0,AAPL
3069,189,2017-03-30,851.98,852.0,846.77,849.48,949398.0,0.0,1.0,851.98,852.0,846.77,849.48,949398.0,GOOGL
2314,53,2017-03-31,46.52,46.7,46.27,46.41,7814123.0,0.0,1.0,46.52,46.7,46.27,46.41,7814123.0,YHOO
